Sindromų lentelės sudarymo laikas:
K:1
N: 1, vykdymo laikas: 1 (milisekundės).
N: 2, vykdymo laikas: 30 (mikrosekundės).
N: 3, vykdymo laikas: 28 (mikrosekundės).
N: 4, vykdymo laikas: 74 (mikrosekundės).
N: 5, vykdymo laikas: 68 (mikrosekundės).
N: 6, vykdymo laikas: 162 (mikrosekundės).
N: 7, vykdymo laikas: 249 (mikrosekundės).
N: 8, vykdymo laikas: 306 (mikrosekundės).
N: 9, vykdymo laikas: 390 (mikrosekundės).
N: 10, vykdymo laikas: 511 (mikrosekundės).
N: 11, vykdymo laikas: 1 (milisekundės).
N: 12, vykdymo laikas: 1 (milisekundės).
N: 13, vykdymo laikas: 3 (milisekundės).
N: 14, vykdymo laikas: 5 (milisekundės).
N: 15, vykdymo laikas: 11 (milisekundės).
N: 16, vykdymo laikas: 15 (milisekundės).
N: 17, vykdymo laikas: 39 (milisekundės).
N: 18, vykdymo laikas: 98 (milisekundės).
N: 19, vykdymo laikas: 225 (milisekundės).
N: 20, vykdymo laikas: 433 (milisekundės).
N: 21, vykdymo laikas: 888 (milisekundės).
N: 22, vykdymo laikas: 2 (sekundės).
N: 23, vykdymo laikas: 4 (sekundės).
N: 24, vykdymo laikas: 9 (sekundės).
N: 25, vykdymo laikas: 20 (sekundės).
K:2
N: 2, vykdymo laikas: 11 (mikrosekundės).
N: 3, vykdymo laikas: 5 (mikrosekundės).
N: 4, vykdymo laikas: 4 (mikrosekundės).
N: 5, vykdymo laikas: 6 (mikrosekundės).
N: 6, vykdymo laikas: 10 (mikrosekundės).
N: 7, vykdymo laikas: 18 (mikrosekundės).
N: 8, vykdymo laikas: 28 (mikrosekundės).
N: 9, vykdymo laikas: 56 (mikrosekundės).
N: 10, vykdymo laikas: 114 (mikrosekundės).
N: 11, vykdymo laikas: 238 (mikrosekundės).
N: 12, vykdymo laikas: 501 (mikrosekundės).
N: 13, vykdymo laikas: 1 (milisekundės).
N: 14, vykdymo laikas: 2 (milisekundės).
N: 15, vykdymo laikas: 4 (milisekundės).
N: 16, vykdymo laikas: 10 (milisekundės).
N: 17, vykdymo laikas: 22 (milisekundės).
N: 18, vykdymo laikas: 50 (milisekundės).
N: 19, vykdymo laikas: 152 (milisekundės).
N: 20, vykdymo laikas: 289 (milisekundės).
N: 21, vykdymo laikas: 740 (milisekundės).
N: 22, vykdymo laikas: 1 (sekundės).
N: 23, vykdymo laikas: 3 (sekundės).
N: 24, vykdymo laikas: 7 (sekundės).
N: 25, vykdymo laikas: 16 (sekundės).
K:3
N: 3, vykdymo laikas: 10 (mikrosekundės).
N: 4, vykdymo laikas: 5 (mikrosekundės).
N: 5, vykdymo laikas: 6 (mikrosekundės).
N: 6, vykdymo laikas: 9 (mikrosekundės).
N: 7, vykdymo laikas: 17 (mikrosekundės).
N: 8, vykdymo laikas: 29 (mikrosekundės).
N: 9, vykdymo laikas: 54 (mikrosekundės).
N: 10, vykdymo laikas: 105 (mikrosekundės).
N: 11, vykdymo laikas: 221 (mikrosekundės).
N: 12, vykdymo laikas: 456 (mikrosekundės).
N: 13, vykdymo laikas: 989 (mikrosekundės).
N: 14, vykdymo laikas: 2 (milisekundės).
N: 15, vykdymo laikas: 4 (milisekundės).
N: 16, vykdymo laikas: 10 (milisekundės).
N: 17, vykdymo laikas: 20 (milisekundės).
N: 18, vykdymo laikas: 45 (milisekundės).
N: 19, vykdymo laikas: 103 (milisekundės).
N: 20, vykdymo laikas: 270 (milisekundės).
N: 21, vykdymo laikas: 590 (milisekundės).
N: 22, vykdymo laikas: 1 (sekundės).
N: 23, vykdymo laikas: 3 (sekundės).
N: 24, vykdymo laikas: 6 (sekundės).
N: 25, vykdymo laikas: 15 (sekundės).
K:4
N: 4, vykdymo laikas: 12 (mikrosekundės).
N: 5, vykdymo laikas: 6 (mikrosekundės).
